x, f(x), f'(x), f''(x)
 -4.00000000e+00,  1.33830226e-04,  5.43425415e-04,  1.03197441e-03
 -3.99200000e+00,  1.38177629e-04,  5.51681210e-04,  1.56241310e-03
 -3.98400000e+00,  1.42657125e-04,  5.68424025e-04,  2.12211932e-03
 -3.97600000e+00,  1.47272413e-04,  5.85635120e-04,  2.18139135e-03
 -3.96800000e+00,  1.52027287e-04,  6.03326286e-04,  2.24215338e-03
 -3.96000000e+00,  1.56925634e-04,  6.21509574e-04,  2.30443772e-03
 -3.95200000e+00,  1.61971440e-04,  6.40197290e-04,  2.36827722e-03
 -3.94400000e+00,  1.67168791e-04,  6.59402009e-04,  2.43370527e-03
 -3.93600000e+00,  1.72521872e-04,  6.79136574e-04,  2.50075582e-03
 -3.92800000e+00,  1.78034976e-04,  6.99414102e-04,  2.56946341e-03
 -3.92000000e+00,  1.83712498e-04,  7.20247989e-04,  2.63986310e-03
 -3.91200000e+00,  1.89558944e-04,  7.41651912e-04,  2.71199054e-03
 -3.90400000e+00,  1.95578929e-04,  7.63639837e-04,  2.78588197e-03
 -3.89600000e+00,  2.01777181e-04,  7.86226023e-04,  2.86157419e-03
 -3.88800000e+00,  2.08158545e-04,  8.09425024e-04,  2.93910459e-03
 -3.88000000e+00,  2.14727982e-04,  8.33251697e-04,  3.01851112e-03
 -3.87200000e+00,  2.21490572e-04,  8.57721202e-04,  3.09983237e-03
 -3.86400000e+00,  2.28451521e-04,  8.82849015e-04,  3.18310748e-03
 -3.85600000e+00,  2.35616156e-04,  9.08650922e-04,  3.26837620e-03
 -3.84800000e+00,  2.42989935e-04,  9.35143034e-04,  3.35567889e-03
 -3.84000000e+00,  2.50578445e-04,  9.62341784e-04,  3.44505651e-03
 -3.83200000e+00,  2.58387404e-04,  9.90263938e-04,  3.53655061e-03
 -3.82400000e+00,  2.66422668e-04,  1.01892659e-03,  3.63020336e-03
 -3.81600000e+00,  2.74690230e-04,  1.04834719e-03,  3.72605756e-03
 -3.80800000e+00,  2.83196223e-04,  1.07854352e-03,  3.82415658e-03
 -3.80000000e+00,  2.91946926e-04,  1.10953370e-03,  3.92454445e-03
 -3.79200000e+00,  3.00948762e-04,  1.14133623e-03,  4.02726579e-03
 -3.78400000e+00,  3.10208305e-04,  1.17396995e-03,  4.13236585e-03
 -3.77600000e+00,  3.19732281e-04,  1.20745408e-03,  4.23989049e-03
 -3.76800000e+00,  3.29527571e-04,  1.24180820e-03,  4.34988622e-03
 -3.76000000e+00,  3.39601212e-04,  1.27705226e-03,  4.46240014e-03
 -3.75200000e+00,  3.49960407e-04,  1.31320660e-03,  4.57747999e-03
 -3.74400000e+00,  3.60612518e-04,  1.35029194e-03,  4.69517414e-03
 -3.73600000e+00,  3.71565078e-04,  1.38832939e-03,  4.81553156e-03
 -3.72800000e+00,  3.82825788e-04,  1.42734044e-03,  4.93860187e-03
 -3.72000000e+00,  3.94402525e-04,  1.46734702e-03,  5.06443531e-03
 -3.71200000e+00,  4.06303341e-04,  1.50837141e-03,  5.19308273e-03
 -3.70400000e+00,  4.18536468e-04,  1.55043634e-03,  5.32459561e-03
 -3.69600000e+00,  4.31110322e-04,  1.59356494e-03,  5.45902605e-03
 -3.68800000e+00,  4.44033507e-04,  1.63778076e-03,  5.59642678e-03
 -3.68000000e+00,  4.57314814e-04,  1.68310777e-03,  5.73685112e-03
 -3.67200000e+00,  4.70963231e-04,  1.72957037e-03,  5.88035304e-03
 -3.66400000e+00,  4.84987940e-04,  1.77719342e-03,  6.02698710e-03
 -3.65600000e+00,  4.99398325e-04,  1.82600217e-03,  6.17680846e-03
 -3.64800000e+00,  5.14203975e-04,  1.87602235e-03,  6.32987293e-03
 -3.64000000e+00,  5.29414683e-04,  1.92728013e-03,  6.48623687e-03
 -3.63200000e+00,  5.45040457e-04,  1.97980214e-03,  6.64595726e-03
 -3.62400000e+00,  5.61091517e-04,  2.03361545e-03,  6.80909169e-03
 -3.61600000e+00,  5.77578304e-04,  2.08874761e-03,  6.97569833e-03
 -3.60800000e+00,  5.94511479e-04,  2.14522662e-03,  7.14583590e-03
 -3.60000000e+00,  6.11901930e-04,  2.20308098e-03,  7.31956375e-03
 -3.59200000e+00,  6.29760775e-04,  2.26233964e-03,  7.49694178e-03
 -3.58400000e+00,  6.48099364e-04,  2.32303205e-03,  7.67803043e-03
 -3.57600000e+00,  6.66929288e-04,  2.38518813e-03,  7.86289074e-03
 -3.56800000e+00,  6.86262375e-04,  2.44883830e-03,  8.05158428e-03
 -3.56000000e+00,  7.06110700e-04,  2.51401348e-03,  8.24417315e-03
 -3.55200000e+00,  7.26486590e-04,  2.58074507e-03,  8.44072002e-03
 -3.54400000e+00,  7.47402622e-04,  2.64906500e-03,  8.64128804e-03
 -3.53600000e+00,  7.68871630e-04,  2.71900568e-03,  8.84594092e-03
 -3.52800000e+00,  7.90906713e-04,  2.79060005e-03,  9.05474284e-03
 -3.52000000e+00,  8.13521231e-04,  2.86388157e-03,  9.26775849e-03
 -3.51200000e+00,  8.36728818e-04,  2.93888419e-03,  9.48505305e-03
 -3.50400000e+00,  8.60543378e-04,  3.01564242e-03,  9.70669217e-03
 -3.49600000e+00,  8.84979096e-04,  3.09419127e-03,  9.93274194e-03
 -3.48800000e+00,  9.10050438e-04,  3.17456629e-03,  1.01632689e-02
 -3.48000000e+00,  9.35772157e-04,  3.25680357e-03,  1.03983401e-02
 -3.47200000e+00,  9.62159295e-04,  3.34093973e-03,  1.06380230e-02
 -3.46400000e+00,  9.89227193e-04,  3.42701194e-03,  1.08823852e-02
 -3.45600000e+00,  1.01699149e-03,  3.51505789e-03,  1.11314951e-02
 -3.44800000e+00,  1.04546812e-03,  3.60511586e-03,  1.13854212e-02
 -3.44000000e+00,  1.07467334e-03,  3.69722463e-03,  1.16442326e-02
 -3.43200000e+00,  1.10462371e-03,  3.79142358e-03,  1.19079983e-02
 -3.42400000e+00,  1.13533612e-03,  3.88775261e-03,  1.21767882e-02
 -3.41600000e+00,  1.16682775e-03,  3.98625219e-03,  1.24506720e-02
 -3.40800000e+00,  1.19911615e-03,  4.08696336e-03,  1.27297201e-02
 -3.40000000e+00,  1.23221917e-03,  4.18992771e-03,  1.30140029e-02
 -3.39200000e+00,  1.26615500e-03,  4.29518740e-03,  1.33035911e-02
 -3.38400000e+00,  1.30094217e-03,  4.40278517e-03,  1.35985557e-02
 -3.37600000e+00,  1.33659956e-03,  4.51276430e-03,  1.38989678e-02
